Date,Sales
2022/1/12,4235.8
2022/1/13,2846.5
2022/1/14,7433.2
2022/1/15,14980.4
2022/1/16,19075.7
2022/1/17,24213.8
2022/1/18,35066.6
2022/1/19,38410.4
2022/1/20,32388.1
2022/1/21,79655.9
2022/1/22,66217.8
2022/1/23,67132.3
2022/1/24,70628.6
2022/1/25,75508.2
2022/1/26,71890.3
2022/1/27,67539.1
2022/1/28,69577.9
2022/1/29,73677.3
2022/1/30,75362.7
2022/1/31,75963.2
2022/2/1,76548.6
2022/2/2,76255.7
2022/2/3,75547.4
2022/2/4,74934.5
2022/2/5,73943.5
2022/2/6,72949.9
2022/2/7,72784.1
2022/2/8,74003.9
2022/2/9,77085.3
2022/2/10,81420.5
2022/2/11,85500.8
2022/2/12,88444.7
2022/2/13,89936.4
2022/2/14,90351
2022/2/15,90942.6
2022/2/16,92315.4
2022/2/17,94299.8
2022/2/18,96519.9
2022/2/19,98056.4
2022/2/20,98416.3
2022/2/21,97774.5
2022/2/22,96173.7
2022/2/23,93824.2
2022/2/24,90811.4
2022/2/25,86849.6
2022/2/26,81936.5
2022/2/27,76215.7
2022/2/28,69844.1
2022/3/1,63201.2
2022/3/2,56598.9
2022/3/3,50264.2
2022/3/4,44536.2
2022/3/5,39728.4
2022/3/6,36104.9
2022/3/7,33911.9
2022/3/8,33257
2022/3/9,34081.3
2022/3/10,36162.3
2022/3/11,39113.8
2022/3/12,42493
2022/3/13,45883.8
2022/3/14,48988.1
2022/3/15,51654
2022/3/16,53739.2
2022/3/17,55171.2
2022/3/18,56070.1
2022/3/19,56663.2
2022/3/20,57258
2022/3/21,58156.6
2022/3/22,59373.9
2022/3/23,60688
2022/3/24,61927.8
2022/3/25,62897
2022/3/26,63343.9
2022/3/27,63060
2022/3/28,61709.9
2022/3/29,58939.9
2022/3/30,54733
2022/3/31,49303.4
2022/4/1,42912.2
2022/4/2,35949.8
2022/4/3,28838
2022/4/4,21976.7
2022/4/5,15940.6
2022/4/6,11337.8
2022/4/7,8523.1
2022/4/8,7677
2022/4/9,8878.1
2022/4/10,12015.1
2022/4/11,16859.6
2022/4/12,23084.2
2022/4/13,30133
2022/4/14,37345
2022/4/15,44181.4
2022/4/16,50184
2022/4/17,54910.9
2022/4/18,58049.7
2022/4/19,59448.3
2022/4/20,59145
2022/4/21,57531.3
2022/4/22,55352.7
2022/4/23,53609.4
2022/4/24,53462.8
2022/4/25,55941.3
2022/4/26,61613.2
2022/4/27,70217.5
2022/4/28,80669.3
2022/4/29,91593.9
2022/4/30,101321.7
2022/5/1,107860.2
2022/5/2,109986.6
2022/5/3,108705
2022/5/4,108906.8
2022/5/5,122025.2
2022/5/6,155466.2
2022/5/7,188029.3
2022/5/8,191365.4
2022/5/9,185489.2
2022/5/10,206726.1
2022/5/11,238391.5
2022/5/12,248225
2022/5/13,237989.2
2022/5/14,216234.6
2022/5/15,198561.2
2022/5/16,189723.2
2022/5/17,190186.9
2022/5/18,173611.9
2022/5/19,151501.1
2022/5/20,144682.4
2022/5/21,144535.4
2022/5/22,139365.5
2022/5/23,133942.8
2022/5/24,130858.3
2022/5/25,127399.8
